Team Name,Team Name,TeamYear,Roster,25-Man Payroll,IR,Retained,Buried,Suspended,Total Payroll,RelPayPerYear,Year
Cincinnati Reds,Reds,Reds2015,35,68445559,22890777,20832787,1525000,-,112333097,87.11434946,2015
Atlanta Braves,Braves,Braves2015,33,55022799,11263899,44307649,1522500,-,110838389,85.95520297,2015
Minnesota Twins,Twins,Twins2015,35,101448147,2070081,3950000,2575000,-,107981818,83.73993132,2015
San Diego Padres,Padres,Padres2015,37,93212255,11029819,3267222,1568000,-,107915272,83.68832488,2015
Colorado Rockies,Rockies,Rockies2015,38,74930648,5862600,25765868,1527500,-,106860781,82.8705668,2015
Pittsburgh Pirates,Pirates,Pirates2015,33,81904030,14318868,2759768,3548000,-,99435606,77.11234143,2015
Milwaukee Brewers,Brewers,Brewers2015,34,58772714,1020000,33510458,4120000,-,94010873,72.90545941,2015
Houston Astros,Astros,Astros2015,33,64818398,11040900,3150680,5545000,-,81450835,63.16514628,2015
Oakland Athletics,Athletics,Athletics2015,34,41897450,8772896,29468089,2537500,-,80376830,62.33225509,2015
Cleveland Indians,Indians,Indians2015,36,45520977,680720,29817050,3907077,-,77404413,60.02714484,2015
Arizona Diamondbacks,Diamondbacks,Diamondbacks2015,39,45142733,1026500,30465028,900000,-,76781801,59.54430905,2015
Tampa Bay Rays,Rays,Rays2015,35,52092948,8440963,12505697,3337500,-,73582652,57.06336807,2015
Miami Marlins,Marlins,Marlins2015,32,28171144,15751830,19528890,1015000,-,63590525,49.31447067,2015
Los Angeles Dodgers,Dodgers,Dodgers2014,35,234067142,1500000,7100000,3700000,-,246367142,204.7277739,2014
New York Yankees,Yankees,Yankees2014,37,198020464,-,16763048,1022125,-,214898031,178.5773669,2014
Philadelphia Phillies,Phillies,Phillies2014,30,145123014,25000000,4263731,3500000,-,175061605,145.4738339,2014
Detroit Tigers,Tigers,Tigers2014,35,147009969,17310000,7255247,1504000,-,171996220,142.9265403,2014
San Francisco Giants,Giants,Giants2014,42,152735333,-,18501449,750000,-,171336782,142.3785562,2014
Boston Red Sox,Red Sox,Red Sox2014,38,95417971,-,61397733,500000,-,170095758,141.347282,2014
Los Angeles Angels of Anaheim,Angels,Angels2014,41,132451972,-,32051279,900000,-,165403251,137.4478719,2014
Washington Nationals,Nationals,Nationals2014,38,149257210,77160,136612,-,-,149470982,124.2083711,2014
Toronto Blue Jays,Blue Jays,Blue Jays2014,37,122125961,3000000,5186211,11500000,-,141812172,117.8440033,2014
Texas Rangers,Rangers,Rangers2014,47,129809240,1002163,8819180,-,-,139630583,116.0311322,2014
St. Louis Cardinals,Cardinals,Cardinals2014,38,114533043,-,5699886,1000000,-,121232929,100.7429298,2014
Atlanta Braves,Braves,Braves2014,39,102713304,-,14100492,1000000,-,116865707,97.11382715,2014
Baltimore Orioles,Orioles,Orioles2014,36,105470318,3000000,2282926,3225000,-,113562943,94.36927479,2014
Cincinnati Reds,Reds,Reds2014,35,99229931,6000000,6890711,2714285,-,113351318,94.19341726,2014
Milwaukee Brewers,Brewers,Brewers2014,36,108174589,-,2320491,1000000,-,110577046,91.88803463,2014
Seattle Mariners,Mariners,Mariners2014,39,98030060,2800000,3504114,1700000,-,107034174,88.94395576,2014
Arizona Diamondbacks,Diamondbacks,Diamondbacks2014,40,68514917,9500000,28134272,2500000,-,106482519,88.48553789,2014
Kansas City Royals,Royals,Royals2014,36,90536848,-,4686452,3335000,-,98558300,81.90061872,2014
Colorado Rockies,Rockies,Rockies2014,39,96456583,-,202995,-,-,96659578,80.32280633,2014
New York Mets,Mets,Mets2014,33,73675535,345811,19290982,3025000,-,94478037,78.50997517,2014
Oakland Athletics,Athletics,Athletics2014,35,65760582,733879,22605236,5375000,-,93518412,77.71253973,2014
Chicago Cubs,Cubs,Cubs2014,38,53604470,-,34683034,2203500,-,89539741,74.40631776,2014
Chicago White Sox,White Sox,White Sox2014,31,60305897,-,28411749,1512400,-,89221236,74.1416444,2014
Minnesota Twins,Twins,Twins2014,34,72140448,-,15337637,500000,-,87494478,72.70673178,2014
San Diego Padres,Padres,Padres2014,39,67296350,501400,16594743,2002000,-,85001967,70.63548874,2014
Cleveland Indians,Indians,Indians2014,33,59720646,1000000,23415930,1430000,-,84369908,70.11025623,2014
Pittsburgh Pirates,Pirates,Pirates2014,31,68883439,505500,7320970,1950000,-,76974115,63.96445194,2014
Tampa Bay Rays,Rays,Rays2014,40,63704707,-,13116339,-,-,76821046,63.83725367,2014
Houston Astros,Astros,Astros2014,38,41637464,3594262,6051590,1500000,-,51679490,42.94495954,2014
Miami Marlins,Marlins,Marlins2014,34,39231780,3500000,7939616,-,-,50671396,42.10724702,2014
Los Angeles Dodgers,Dodgers,Dodgers2013,39,207344759,505000,25747116,7977500,-,239894375,216.4012179,2013
New York Yankees,Yankees,Yankees2013,39,207768301,14900000,14645450,3008675,-,239288940,215.8550739,2013
Boston Red Sox,Red Sox,Red Sox2013,41,155978895,7040000,5340903,3630000,-,170734264,154.0140433,2013
Philadelphia Phillies,Phillies,Phillies2013,40,153273261,1755291,8307527,980000,-,163536898,147.5215244,2013
Detroit Tigers,Tigers,Tigers2013,32,145423867,3994000,5805672,-,-,155223539,140.0223031,2013
Los Angeles Angels of Anaheim,Angels,Angels2013,35,116449230,870218,23845171,1963000,-,141435103,127.5841859,2013
